beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
5,0.057,1,0.5,0.3,0.4,0.2857142857142857,4.094846455076771,0,0.47579089864592816,0.4467770225768986,0.9964040367406132,0.8051459887280177,107.10496431478443
10,0.057,1,0.5,0.3,0.4,0.2857142857142857,9.741244887391831,0.06420811281819686,0.07641054117990098,0,0.5880377594672643,0.9997362610811183,107.41358246599371
15,0.057,1,0.5,0.3,0.4,0.2857142857142857,15.692215052603377,0.10910948064728192,0.21872676568611837,0.060524308141018314,0.6943193684051698,0.9059566602090294,106.82503341773028
20,0.057,1,0.5,0.3,0.4,0.2857142857142857,18.859354921455783,0.12421728816054955,0.21062122555930896,0.04956215065847466,0.697097666322512,0.9299861904423102,106.87103384105276
5,0.025,1,0.5,0.3,0.4,0.2857142857142857,5.150737045964263,0.019537077024905918,0.3332960335226212,0.31322522003663134,0.8809327500271227,0.8026207191873969,106.77952436299269
10,0.025,1,0.5,0.3,0.4,0.2857142857142857,9.523995431953761,0.06886813039769954,0.23005550004978392,0.11951900306398403,0.7350831139934544,0.8277715257306781,106.76174783597523
15,0.025,1,0.5,0.3,0.4,0.2857142857142857,8.64741758228883,0.059320135446299486,2.929153966231535e-4,6.969581231047159,0.7336198884006166,0.7360535282205736,106.96895280406564
20,0.025,1,0.5,0.3,0.4,0.2857142857142857,18.150104866952397,0.1244000407400562,0.2120263275862284,0.13574705388146227,0.9705454159285265,0.7623414103762058,107.71844302906518
5,0.1,1,0.5,0.3,0.4,0.2857142857142857,5.215135334486144,0.021078266718417806,0.3922057243193435,0.3797332002872891,0.9996470528038099,0.7952631289294949,106.82439507144436
10,0.1,1,0.5,0.3,0.4,0.2857142857142857,10.463270640124103,0.07641534509828425,0.2255658556425522,0.10378445628920292,0.7226332961757809,0.8386937077957866,106.76877020036548
15,0.1,1,0.5,0.3,0.4,0.2857142857142857,10.061907898818344,0.0705929384783768,0.8408926540691748,6.982503939838992,0.9959653862819005,0.6983550804454204,107.02124456610741
20,0.1,1,0.5,0.3,0.4,0.2857142857142857,20.17070687783314,0.12912809570600253,0.16196955545721975,0.037182485174770574,0.70089128989906,0.9098640306057408,106.91948241786564
5,0.057,2,0.5,0.3,0.4,0.2857142857142857,4.030414699103312,0,0.529254268514843,0.41792900142914224,1,1,108.01535494480609
