beta_0_init,xi_init,dif,k,lambda_,f_1_fit,f_2_fit,beta_0_fit,xi_fit,nlogll
5,0.057,0,0,0,1,1,10.856896335327836,0.08217991910628485,109.04478272497741
10,0.057,0,0,0,1,1,10.855377013717643,0.08217484128310917,109.04478212393093
15,0.057,0,0,0,1,1,10.85476119913855,0.08215915962831419,109.04478138479121
20,0.057,0,0,0,1,1,10.856081886964883,0.08217516401210173,109.04478080365307
25,0.057,0,0,0,1,1,10.85461417220423,0.08216451435938146,109.04478199311094
30,0.057,0,0,0,1,1,10.854604456614222,0.08216438367913337,109.04478199326014
35,0.057,0,0,0,1,1,40,0,118.80382739291066
5,0.025,0,0,0,1,1,10.856881583096754,0.08217974418862306,109.04478272493516
10,0.025,0,0,0,1,1,10.856029504432897,0.08217438652264669,109.04478079889189
15,0.025,0,0,0,1,1,10.856669341010317,0.08218673859617065,109.0447816447657
20,0.025,0,0,0,1,1,40,0,118.80382739291066
25,0.025,0,0,0,1,1,40,0,118.80382739291066
30,0.025,0,0,0,1,1,40,0,118.80382739291066
35,0.025,0,0,0,1,1,40,0,118.80382739291066
5,0.1,0,0,0,1,1,6.667995142741107,0,120.9694177311235
10,0.1,0,0,0,1,1,10.854685321178117,0.08216554125275882,109.04478199627009
15,0.1,0,0,0,1,1,10.856868460137548,0.08217955354087306,109.04478272503022
20,0.1,0,0,0,1,1,10.855589832802837,0.08216807119486777,109.04478087553711
25,0.1,0,0,0,1,1,10.856890770840987,0.08217983728698558,109.04478272493395
30,0.1,0,0,0,1,1,10.856058564358996,0.0821748090581757,109.04478080078734
35,0.1,0,0,0,1,1,10.855457269089145,0.08216610765663449,109.04478094651836
