beta_0_init,f_1_init,f_2_init,dif,k,lambda_,xi_fit,f_1_fit,f_2_fit,beta_0_fit,nlogll
5,0.3,0.4,0.2857142857142857,0,0,0,0.5677971823000756,0.7760320696354777,4.499593660019902,107.53910419755661
10,0.3,0.4,0.2857142857142857,0,0,0,1,1,6.66800967301216,120.96941773106782
15,0.3,0.4,0.2857142857142857,0,0,0,1,0.23829183739068782,40,116.84802953970636
20,0.3,0.4,0.2857142857142857,0,0,0,0.9999964342846486,0.23835981751166735,39.9999690925984,116.84803551423266
25,0.3,0.4,0.2857142857142857,0,0,0,1,0.23824924310422557,39.99999854682538,116.84802389012559
30,0.3,0.4,0.2857142857142857,0,0,0,1,0.23833844722487346,40,116.84803108569253
35,0.3,0.4,0.2857142857142857,0,0,0,1,0.23825872051136487,39.99997781020133,116.8480251141595
5,0.5,0.4,0.2857142857142857,0,0,0,0.5672822564688578,0.7760210884351193,4.500860633151163,107.53911246401901
10,0.5,0.4,0.2857142857142857,0,0,0,1,0.7460461716252148,6.732592266661076,119.75110909139094
15,0.5,0.4,0.2857142857142857,0,0,0,1,0.23828258103263594,40,116.8480303606505
20,0.5,0.4,0.2857142857142857,0,0,0,1,0.23826549345496972,40,116.84802962943925
25,0.5,0.4,0.2857142857142857,0,0,0,0.9999956181996731,0.23792482072602555,39.999531571797846,116.84808464144841
30,0.5,0.4,0.2857142857142857,0,0,0,0.9999999807903841,0.2382742655008137,40,116.84802897103587
35,0.5,0.4,0.2857142857142857,0,0,0,1,0.23828212815521366,40,116.84803036140558
5,0.7,0.4,0.2857142857142857,0,0,0,0.567628192566455,0.7755831081072588,4.49943268283101,107.53913901338055
10,0.7,0.4,0.2857142857142857,0,0,0,1,1,6.66800916916757,120.96941773101169
15,0.7,0.4,0.2857142857142857,0,0,0,1,0.23831744844171518,40,116.84802979857206
20,0.7,0.4,0.2857142857142857,0,0,0,1,0.2382886428749647,40,116.84802953134206
25,0.7,0.4,0.2857142857142857,0,0,0,1,0.23827854703476856,40,116.84802953982182
30,0.7,0.4,0.2857142857142857,0,0,0,0.9999999899521241,0.23829053650044085,40,116.84802387564987
35,0.7,0.4,0.2857142857142857,0,0,0,1,0.23828891060878185,40,116.84803036128791
5,0.9,0.4,0.2857142857142857,0,0,0,0.5675473716356839,0.7763953353307587,4.500240101599619,107.53911099557776
10,0.9,0.4,0.2857142857142857,0,0,0,1,0.7462823204542863,6.733650678113964,119.75110289385734
15,0.9,0.4,0.2857142857142857,0,0,0,1,0.2381848160354022,39.99982262785481,116.84802783781477
20,0.9,0.4,0.2857142857142857,0,0,0,1,0.23817406624751486,39.999956675365254,116.84802854676529
25,0.9,0.4,0.2857142857142857,0,0,0,1,0.23828859765541732,40,116.84803036076288
30,0.9,0.4,0.2857142857142857,0,0,0,0.9999915936487466,0.23848452189116826,39.999963422070955,116.84805967170837
35,0.9,0.4,0.2857142857142857,0,0,0,1,0.23830817150537661,40,116.84802966541868
5,0.3,0.6,0.2857142857142857,0,0,0,0.5674587459173026,0.7759889090724126,4.501893422555515,107.53913164982217
10,0.3,0.6,0.2857142857142857,0,0,0,1,0.7462261135410067,6.733198998707431,119.7511081310832
15,0.3,0.6,0.2857142857142857,0,0,0,1,0.23829047740238068,40,116.84802953549635
20,0.3,0.6,0.2857142857142857,0,0,0,1,0.23828916783797244,40,116.84803036175421
25,0.3,0.6,0.2857142857142857,0,0,0,1,0.2382722257293603,39.999856415886015,116.84802624343706
30,0.3,0.6,0.2857142857142857,0,0,0,1,0.23827195802023304,39.99999873851364,116.8480235911819
35,0.3,0.6,0.2857142857142857,0,0,0,1,0.2383343838734332,40,116.84803015694845
5,0.5,0.6,0.2857142857142857,0,0,0,0.5676602202539314,0.7763975759878289,4.4993925598590465,107.53911433262265
10,0.5,0.6,0.2857142857142857,0,0,0,1,0.7459891949435273,6.733649648973124,119.75110251691318
15,0.5,0.6,0.2857142857142857,0,0,0,0.9996501370981036,0.24146299911922464,39.85785183920139,116.85632032645569
20,0.5,0.6,0.2857142857142857,0,0,0,1,0.23801724680802155,39.95937744390499,116.84972197860868
25,0.5,0.6,0.2857142857142857,0,0,0,1,0.23827933618765854,40,116.84802953724652
30,0.5,0.6,0.2857142857142857,0,0,0,1,0.23828792290753878,40,116.84803035981217
35,0.5,0.6,0.2857142857142857,0,0,0,1,0.2383292699584053,40,116.84803003303284
5,0.7,0.6,0.2857142857142857,0,0,0,0.5674525393131576,0.7761975511628864,4.50016523723985,107.53911635371777
10,0.7,0.6,0.2857142857142857,0,0,0,1,0.7325749790829812,6.794107867361111,119.7652398962567
15,0.7,0.6,0.2857142857142857,0,0,0,1,0.23831433700869745,40,116.84802974892722
20,0.7,0.6,0.2857142857142857,0,0,0,1,0.23831730572340287,40,116.84802979618375
25,0.7,0.6,0.2857142857142857,0,0,0,1,0.2382572475805751,40,116.84802973179292
30,0.7,0.6,0.2857142857142857,0,0,0,1,0.2383072825285114,40,116.84802965500693
35,0.7,0.6,0.2857142857142857,0,0,0,1,0.23828857464933004,40,116.84803036073036
5,0.9,0.6,0.2857142857142857,0,0,0,0.5675784664001224,0.7765141929364714,4.500458923983584,107.53911330531038
10,0.9,0.6,0.2857142857142857,0,0,0,0.9872143397980521,0.7356305702686109,6.677153453796951,119.90044111321733
15,0.9,0.6,0.2857142857142857,0,0,0,1,0.2382909165452971,40,116.84802953674901
20,0.9,0.6,0.2857142857142857,0,0,0,1,0.23826311921679255,40,116.84802965527936
25,0.9,0.6,0.2857142857142857,0,0,0,1,0.23830718118670705,40,116.84802965384769
30,0.9,0.6,0.2857142857142857,0,0,0,1,0.2383129853813741,39.9999999350971,116.84802373135115
35,0.9,0.6,0.2857142857142857,0,0,0,1,0.23821927684841498,39.99999999999999,116.84802460787775
5,0.3,0.8,0.2857142857142857,0,0,0,0.5674650249729118,0.7761953777707271,4.500948212373782,107.5391098326962
10,0.3,0.8,0.2857142857142857,0,0,0,1,0.7463737871124916,6.734052422550755,119.75111267408148
15,0.3,0.8,0.2857142857142857,0,0,0,1,0.2382883060966268,40,116.84803036032405
20,0.3,0.8,0.2857142857142857,0,0,0,1,0.23828975302179606,40,116.84803036294277
25,0.3,0.8,0.2857142857142857,0,0,0,1,0.23824772796089422,39.999987926332125,116.84802584651477
30,0.3,0.8,0.2857142857142857,0,0,0,1,0.23828437180502995,40,116.84803035871505
35,0.3,0.8,0.2857142857142857,0,0,0,1,0.2383396972212404,39.99995723756382,116.84802620629725
5,0.5,0.8,0.2857142857142857,0,0,0,0.5678359895179925,0.7763114603863184,4.500075591026091,107.53910804829039
10,0.5,0.8,0.2857142857142857,0,0,0,1,0.7463118948828573,6.731935546305946,119.75110834668658
15,0.5,0.8,0.2857142857142857,0,0,0,0.9999991414608922,0.23814795202998307,40,116.84803115453141
20,0.5,0.8,0.2857142857142857,0,0,0,0.9999907929577279,0.23820398702566994,40,116.8480496859434
25,0.5,0.8,0.2857142857142857,0,0,0,1,0.23828950987874786,40,116.84802953308574
30,0.5,0.8,0.2857142857142857,0,0,0,1,0.23828970539343391,40,116.84803036283954
35,0.5,0.8,0.2857142857142857,0,0,0,1,0.2383314078140094,39.997491329249335,116.84813126709044
5,0.7,0.8,0.2857142857142857,0,0,0,0.5676030970128811,0.7764229132927198,4.5004234009216555,107.53910621710318
10,0.7,0.8,0.2857142857142857,0,0,0,1,0.7461590944975466,6.732178912603499,119.7511067423488
