beta_0_init,k_init,lambda_init,f_1_init,f_2_init,dif,xi,beta_0_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,rmse
5,1,0.5,0.3,0.4,0.2857142857142857,0,3.8826063962017154,0.3339382294174061,0.420989362522346,0.8981748641417164,0.785754847538499,11.310945809559911
10,1,0.5,0.3,0.4,0.2857142857142857,0,3.9115519413774824,0.2972528932355234,0.3940317335463086,0.8603951684181929,0.7747183589771225,11.402366189256677
15,1,0.5,0.3,0.4,0.2857142857142857,0,3.826379617249691,0.3993160825320168,0.46801339584282425,0.9690990897724512,0.7847564681869893,11.318642941109516
20,1,0.5,0.3,0.4,0.2857142857142857,0,3.87422884556732,0.3418874673337247,0.4218688210631863,0.9094907830568248,0.11717486323345588,12.47253522739629
5,2,0.5,0.3,0.4,0.2857142857142857,0,3.877615631060618,0.3452033903266262,0.44229407308146446,0.9068803377046062,0.7948587887679974,11.306311509601548
10,2,0.5,0.3,0.4,0.2857142857142857,0,3.8967659363792118,0.31482107318120284,0.41836479688690686,0.8794949615331289,0.7687105335209978,11.350908951363506
15,2,0.5,0.3,0.4,0.2857142857142857,0,3.851433524973271,0.3718198865349981,0.4427568472681856,0.9410002036306058,0.12131950232432909,12.476239553747147
20,2,0.5,0.3,0.4,0.2857142857142857,0,3.8279122799055143,0.40088722416159545,0.46833244886396536,0.969907108577345,0.7887507995743932,11.319282687416347
5,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.8607963140848978,0.3655207908236889,0.4433645461193961,0.9308658855497867,0.7828794684875806,11.288983455090387
10,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.867530459446873,0.3528876398191553,0.4378609877462469,0.9180835850296654,0.7841605309188346,11.290250406056318
15,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.8396892807125904,0.38772910940066385,0.4623682884731164,0.9554953650718667,0.7877116959192069,11.30084002546204
20,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.9061073393440893,0.3027216917811866,0.39303876448743497,0.8674587195044778,0.7528241231469122,11.404056697662641
5,1,1,0.3,0.4,0.2857142857142857,0,3.8523919413472862,0.37050870208999925,0.45073798087365413,0.9371432250916694,0.784095055898427,11.288467296472094
10,1,1,0.3,0.4,0.2857142857142857,0,3.8693247606446657,0.350807119582115,0.43678735218526366,0.9156452068065359,0.7841448512815297,11.291604863451287
15,1,1,0.3,0.4,0.2857142857142857,0,3.812518328836445,0.42024315287048647,0.4810715810243968,0.9906679777756136,0.7899473192670463,11.359261344485224
20,1,1,0.3,0.4,0.2857142857142857,0,4.153860157960829,2.908630543542569,6.825347688125492,0.9594319760953672,0.7856402283092763,18.9085718325734
5,2,1,0.3,0.4,0.2857142857142857,0,3.8323088885945666,0.39588340289167534,0.4666432646592827,0.9643230931518295,0.7894540489484225,11.311281694431358
10,2,1,0.3,0.4,0.2857142857142857,0,3.8421627155342675,0.38189758562805054,0.45752513723510724,0.9501128666742155,0.7868432812166419,11.295627822474994
15,2,1,0.3,0.4,0.2857142857142857,0,3.8518240346535992,0.37284804422232476,0.45121298328918846,0.9388900025338205,0.7867550367945806,11.289133631589587
20,2,1,0.3,0.4,0.2857142857142857,0,4.116830842673435,2.999960019571828,6.947599603039986,0.9999787924347185,2.081601065290206e-5,19.895695252039637
5,2.5,1,0.3,0.4,0.2857142857142857,0,3.894811883044589,0.2700603079086044,0.3962929124048602,0.8664986850819487,0.7439340670275846,11.68237379270209
