beta_0_init,f_1_init,f_2_init,xi_fit,k_fit,lambda_fit,dif,beta_0_fit,f_1_fit,f_2_fit,rmse
5,0.9,0.4,0,0,0,0.7142857142857143,3.9154746826364772,0.5447919921020837,0.8282899392102345,14.688544297303494
10,0.9,0.4,0,0,0,0.7142857142857143,9.054227321971037,0.9995767509871032,0.578765399641447,90.3101565008935
15,0.9,0.4,0,0,0,0.7142857142857143,39.999995932528385,0.9999993416199173,1.8055289957574772e-7,89.75731034198633
20,0.9,0.4,0,0,0,0.7142857142857143,39.999995932528925,0.9999993416199173,1.8055289957574772e-7,89.75731033608635
25,0.9,0.4,0,0,0,0.7142857142857143,39.99999593252946,0.9999993416199173,1.8055289957574772e-7,89.7573103394635
5,0.3,0.6,0,0,0,0.7142857142857143,3.916221722780151,0.5436959601809142,0.8264568977985574,14.688147475469073
10,0.3,0.6,0,0,0,0.7142857142857143,9.05419069749665,0.999990774620642,7.128100802944459e-6,90.46353928797197
15,0.3,0.6,0,0,0,0.7142857142857143,39.999996542322435,0.9999994403092021,1.534857484997154e-7,89.75731063384161
20,0.3,0.6,0,0,0,0.7142857142857143,39.99999706714868,0.9999994350803809,1.966519053708815e-7,89.75731024181879
25,0.3,0.6,0,0,0,0.7142857142857143,39.9999996221506,0.9999999580316015,2.221666534074629e-8,89.75730513961446
5,0.5,0.6,0,0,0,0.7142857142857143,3.9164169271971483,0.5436247227887694,0.8267718641141579,14.68814597160926
10,0.5,0.6,0,0,0,0.7142857142857143,9.054120671531036,0.9999965444258385,6.821858295980032e-6,90.46351802090969
15,0.5,0.6,0,0,0,0.7142857142857143,39.99999715643177,0.9999993193175264,1.8374862892356347e-7,89.75731004922385
20,0.5,0.6,0,0,0,0.7142857142857143,39.99999769695326,0.9999994490209536,1.4881119925203024e-7,89.75730976604075
25,0.5,0.6,0,0,0,0.7142857142857143,39.999997156432286,0.9999993193175264,1.8374862892356347e-7,89.75731004924647
5,0.7,0.6,0,0,0,0.7142857142857143,3.9163688137763164,0.5437043593504057,0.8258071002714014,14.688229089506263
10,0.7,0.6,0,0,0,0.7142857142857143,9.054128158792786,0.9999857074695979,3.1934553457624304e-5,90.46354765080319
15,0.7,0.6,0,0,0,0.7142857142857143,39.999996542322435,0.9999994403106321,1.534857484997154e-7,89.75731062467815
20,0.7,0.6,0,0,0,0.7142857142857143,39.9999975193347,0.999999406241471,1.602932631628029e-7,89.75730984003305
25,0.7,0.6,0,0,0,0.7142857142857143,39.9999975193349,0.999999406241471,1.602932631628029e-7,89.757309840603
5,0.9,0.6,0,0,0,0.7142857142857143,3.9210447971051865,0.5357021951784222,0.9501277844885339,15.308140012241957
10,0.9,0.6,0,0,0,0.7142857142857143,9.053921762585883,0.9999810381892567,0.5788174508495865,90.30905451943663
15,0.9,0.6,0,0,0,0.7142857142857143,39.999995932528385,0.9999993416199173,1.805529661891292e-7,89.75731034198631
20,0.9,0.6,0,0,0,0.7142857142857143,39.999995932528925,0.9999993416199173,1.805529661891292e-7,89.75731033608633
25,0.9,0.6,0,0,0,0.7142857142857143,39.99999877017402,0.999999688083013,4.5323372943606444e-8,89.75730952421334
5,0.3,0.8,0,0,0,0.7142857142857143,3.91591697479748,0.5438286208971814,0.8270232064186784,14.68811422912467
10,0.3,0.8,0,0,0,0.7142857142857143,9.053962051533206,0.999988243489933,4.0124896048154834e-5,90.46354372888887
15,0.3,0.8,0,0,0,0.7142857142857143,39.99999807762486,0.9999997864347305,1.130464997167735e-7,89.75730983622812
20,0.3,0.8,0,0,0,0.7142857142857143,39.99999942163012,0.9999999357465261,3.401153070292651e-8,89.75730737872168
25,0.3,0.8,0,0,0,0.7142857142857143,39.999999421630136,0.9999999357465261,3.401153070292651e-8,89.75730738013351
5,0.5,0.8,0,0,0,0.7142857142857143,3.915874819924643,0.5437385894628967,0.8257493351023667,14.688140988380734
10,0.5,0.8,0,0,0,0.7142857142857143,9.05427570533063,0.9999965451799666,5.230477957141044e-6,90.46351640075515
15,0.5,0.8,0,0,0,0.7142857142857143,39.99999807762486,0.9999997864348347,1.130464997167735e-7,89.7573098367901
20,0.5,0.8,0,0,0,0.7142857142857143,39.99999942163012,0.9999999357465355,3.401153070292651e-8,89.75730737876087
25,0.5,0.8,0,0,0,0.7142857142857143,39.999999421630136,0.9999999357465355,3.401153070292651e-8,89.75730738060244
5,0.7,0.8,0,0,0,0.7142857142857143,3.914060324089017,0.5444874418911024,0.8365327532113531,14.691932301730201
10,0.7,0.8,0,0,0,0.7142857142857143,9.053178786626566,0.9999331938875318,0.5789980326795495,90.30919350635644
15,0.7,0.8,0,0,0,0.7142857142857143,39.99999633964588,0.9999991240970636,2.3652438702059797e-7,89.75731134888673
20,0.7,0.8,0,0,0,0.7142857142857143,39.99999767757578,0.9999994442246771,1.5007032616587423e-7,89.75730978205577
25,0.7,0.8,0,0,0,0.7142857142857143,39.99999767757595,0.9999994442246771,1.5007032616587423e-7,89.75730978283298
5,0.9,0.8,0,0,0,0.7142857142857143,3.916546985928444,0.5423062659001523,0.858753776055303,14.724158362254137
10,0.9,0.8,0,0,0,0.7142857142857143,9.053894171218811,0.9999783712788843,0.5776505640426769,90.30907457988258
15,0.9,0.8,0,0,0,0.7142857142857143,39.99999757803421,0.9999993856848401,8.925721767250039e-8,89.75730986286983
20,0.9,0.8,0,0,0,0.7142857142857143,39.99999877017396,0.999999688083013,4.5323379715966894e-8,89.75730952433504
25,0.9,0.8,0,0,0,0.7142857142857143,39.99999877017402,0.999999688083013,4.5323379715966894e-8,89.75730952421334
5,0.3,1,0,0,0,0.7142857142857143,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.3,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
15,0.3,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
20,0.3,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
25,0.3,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
5,0.5,1,0,0,0,0.7142857142857143,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.5,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
15,0.5,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
20,0.5,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
25,0.5,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
5,0.7,1,0,0,0,0.7142857142857143,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.7,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
15,0.7,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
20,0.7,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
25,0.7,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
5,0.9,1,0,0,0,0.7142857142857143,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.9,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
15,0.9,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
20,0.9,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
25,0.9,1,0,0,0,0.7142857142857143,40,0.9999999999999989,1,90.70339863877733
5,0.3,0.4,0,0,0,1,3.8618580694367233,0.5283993667609141,0.836182099244956,13.059110811805272
10,0.3,0.4,0,0,0,1,9.048466349790832,0.999969463902701,0.9999511346149914,90.99615326832807
15,0.3,0.4,0,0,0,1,39.999995838114174,0.9999991364721363,2.6768043392966234e-7,89.75731158618996
20,0.3,0.4,0,0,0,1,39.99999847676524,0.9999998377719428,5.4127848592155914e-8,89.75730882560805
25,0.3,0.4,0,0,0,1,39.99999847676533,0.9999998377719428,5.4127848592155914e-8,89.75730882491658
5,0.5,0.4,0,0,0,1,3.8621440687732256,0.5283227194438095,0.8360672228605791,13.059206500388381
10,0.5,0.4,0,0,0,1,9.054301787715646,0.9999957368538004,8.250436323742338e-6,90.46351738894167
15,0.5,0.4,0,0,0,1,39.99999923961696,0.9999998180535863,4.91328274176972e-8,89.75730836551807
20,0.5,0.4,0,0,0,1,39.99999668973456,0.9999991602778611,1.2199568372173175e-7,89.75731095809775
25,0.5,0.4,0,0,0,1,39.999996474568505,0.9999991057315285,1.2992449904825065e-7,89.75731127108894
5,0.7,0.4,0,0,0,1,3.8617891243623625,0.5283375589007284,0.8368813852308319,13.059196918177886
10,0.7,0.4,0,0,0,1,9.053827132506772,0.9999831098995369,3.463868262215675e-5,90.46356196445741
15,0.7,0.4,0,0,0,1,39.99999919777582,0.9999998080610967,5.1832351188885184e-8,89.75730840911139
20,0.7,0.4,0,0,0,1,39.99999361280902,0.9999983792507964,2.3538799959199608e-7,89.75731427996914
25,0.7,0.4,0,0,0,1,39.99999361281034,0.9999983792507964,2.3538799959199608e-7,89.75731427998336
5,0.9,0.4,0,0,0,1,3.8614262346993566,0.521865773593037,0.9604567498281917,13.664316988811988
10,0.9,0.4,0,0,0,1,9.053673334436603,0.9999798058594893,0.5796096465962193,90.30906525096346
15,0.9,0.4,0,0,0,1,39.999998902754285,0.9999998224495948,4.870434089365716e-8,89.75730857538035
20,0.9,0.4,0,0,0,1,39.99999902239502,0.9999998418115276,4.339376885598156e-8,89.75730846694448
25,0.9,0.4,0,0,0,1,39.99999902239506,0.9999998418115276,4.339376885598156e-8,89.75730846693395
5,0.3,0.6,0,0,0,1,3.8620976262960194,0.5280730611739703,0.8356125647734864,13.059294272538148
10,0.3,0.6,0,0,0,1,9.054349348405356,0.9999877660343324,9.154257526955423e-6,90.4635461543
15,0.3,0.6,0,0,0,1,39.999995838114174,0.9999991364721363,2.6768058020154584e-7,89.75731158618994
20,0.3,0.6,0,0,0,1,39.999999123730056,0.999999831231323,5.8754478171607616e-8,89.75730841738051
25,0.3,0.6,0,0,0,1,39.99999854995406,0.9999998389236777,8.526864953006807e-8,89.75730877213559
5,0.5,0.6,0,0,0,1,3.8620930744602155,0.5280825728736729,0.8372522255807542,13.059229198988149
10,0.5,0.6,0,0,0,1,9.054066432815196,0.9999705223178557,1.476801615575285e-4,90.46357728421954
15,0.5,0.6,0,0,0,1,39.99999923961696,0.9999998180535863,4.913283230267851e-8,89.75730836547879
20,0.5,0.6,0,0,0,1,39.999992599911636,0.9999982293706781,4.781661942510063e-7,89.75731504813355
25,0.5,0.6,0,0,0,1,39.99999925765263,0.9999998223678761,4.796756092328991e-8,89.75730834634905
5,0.7,0.6,0,0,0,1,3.861589253635076,0.5285038046434475,0.8361391783313239,13.059198423504286
10,0.7,0.6,0,0,0,1,9.054597074783075,0.999993491506046,1.333454998780903e-5,90.46353331598449
15,0.7,0.6,0,0,0,1,39.99999445051644,0.9999991017722257,2.463400206043076e-7,89.757311900681
20,0.7,0.6,0,0,0,1,39.999999197775836,0.9999998080610967,5.1832356684489156e-8,89.75730840919846
25,0.7,0.6,0,0,0,1,39.99999919777586,0.9999998080610967,5.1832356684489156e-8,89.75730840912088
5,0.9,0.6,0,0,0,1,3.862281390132616,0.5286209242915151,0.812312061612889,13.07618976734159
10,0.9,0.6,0,0,0,1,9.054711441082137,0.9999709032431189,0.5783353932547136,90.30908518335873
15,0.9,0.6,0,0,0,1,39.999998902754285,0.9999998224495948,4.870434577863847e-8,89.75730857538026
20,0.9,0.6,0,0,0,1,39.99999902239502,0.9999998418115276,4.339377274176215e-8,89.7573084669445
25,0.9,0.6,0,0,0,1,39.99999598026506,0.9999989804677363,1.4814160537168775e-7,89.75731149617164
5,0.3,0.8,0,0,0,1,3.8613832672661808,0.5285065430952096,0.8375307393818565,13.059340422438334
10,0.3,0.8,0,0,0,1,9.054349305063926,0.9999452451573378,7.010021572623204e-5,90.46366039953777
15,0.3,0.8,0,0,0,1,39.999998531360696,0.99999983687561,8.635293635705921e-8,89.75730878612886
20,0.3,0.8,0,0,0,1,39.99999853136077,0.99999983687561,8.635293635705921e-8,89.75730878615263
25,0.3,0.8,0,0,0,1,39.999997700437206,0.9999998411717699,1.2889725570230937e-7,89.75730930964195
5,0.5,0.8,0,0,0,1,3.8620101270573626,0.5283121054887563,0.8365972364563868,13.059004568394194
10,0.5,0.8,0,0,0,1,9.054717983717037,0.9999788153407891,3.206180677284287e-5,90.46356551195497
15,0.5,0.8,0,0,0,1,39.999998531360696,0.9999998368756706,8.635293635705921e-8,89.75730878817843
20,0.5,0.8,0,0,0,1,39.99999853136077,0.9999998368756706,8.635293635705921e-8,89.75730878615859
25,0.5,0.8,0,0,0,1,39.99999853136084,0.9999998368756706,8.635293635705921e-8,89.75730878605539
5,0.7,0.8,0,0,0,1,3.862198833442645,0.5282855895306278,0.8365217511781091,13.059196138579976
10,0.7,0.8,0,0,0,1,9.0544627541584,0.99997058490728,0.5789252429348335,90.30907983143777
15,0.7,0.8,0,0,0,1,39.999996225595254,0.9999990968967597,2.4388384556317533e-7,89.75730969577383
20,0.7,0.8,0,0,0,1,39.999996225595716,0.9999990968967597,2.4388384556317533e-7,89.75730969744546
25,0.7,0.8,0,0,0,1,39.99999622559618,0.9999990968967597,2.4388384556317533e-7,89.75730969560509
5,0.9,0.8,0,0,0,1,3.8632938944022355,0.5280150250508053,0.8363494986573217,13.059424391702937
10,0.9,0.8,0,0,0,1,9.054420003170966,0.9999436644952524,0.5787538173155874,90.30915697402769
15,0.9,0.8,0,0,0,1,39.999995980264,0.9999989804677363,1.481416779247624e-7,89.75731149507432
20,0.9,0.8,0,0,0,1,39.999995980264536,0.9999989804677363,1.481416779247624e-7,89.75731149616477
25,0.9,0.8,0,0,0,1,39.99999598026506,0.9999989804677363,1.481416779247624e-7,89.75731149617164
5,0.3,1,0,0,0,1,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.3,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
15,0.3,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
20,0.3,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
25,0.3,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
5,0.5,1,0,0,0,1,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.5,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
15,0.5,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
20,0.5,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
25,0.5,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
5,0.7,1,0,0,0,1,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.7,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
15,0.7,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
20,0.7,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
25,0.7,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
5,0.9,1,0,0,0,1,6.661338147750939e-15,0.9999999999999998,1,52.532419610002535
10,0.9,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
15,0.9,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
20,0.9,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
25,0.9,1,0,0,0,1,40,0.9999999999999989,1,90.7033986387783
