beta_0_init,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,dif,beta_0_fit,rmse
5,0,0,0,1,1,0,3.5689824264185988,38.602676416039024
10,0,0,0,1,1,0,9.04872796076541,90.99613779657868
15,0,0,0,1,1,0,39.99999770978658,90.70340009359175
20,0,0,0,1,1,0,39.9999981027252,90.70339984398127
25,0,0,0,1,1,0,39.99999885489342,90.7033993661831
30,0,0,0,1,1,0,39.99999905136268,90.70339924137949
35,0,0,0,1,1,0,39.999999214123164,90.70339913798986
