beta_0_init,xi_init,k_fit,lambda_fit,f_1_fit,f_2_fit,dif,beta_0_fit,xi_fit,rmse
5,0.057,0,0,1,1,0,3.568372150457688,1.5355738197664337e-7,38.60272613291499
10,0.057,0,0,1,1,0,3.5684748428686652,2.1370179181801063e-7,38.60272899728726
15,0.057,0,0,1,1,0,39.99935193299592,0.11291097040241233,88.9854624377301
20,0.057,0,0,1,1,0,39.990831006757006,0.11290856057901022,88.98586523593275
25,0.057,0,0,1,1,0,1.9191761391379458,2.086029366465958e-7,47.73230259243883
30,0.057,0,0,1,1,0,39.99999989153555,2.2860817128211863e-9,90.70339949576719
35,0.057,0,0,1,1,0,39.99999989153555,2.2860817128211863e-9,90.70339949576719
5,0.025,0,0,1,1,0,3.56848760556838,9.349442403605579e-8,38.60269873305641
10,0.025,0,0,1,1,0,3.568517216133811,4.7484839227340814e-8,38.60268544500276
15,0.025,0,0,1,1,0,39.99979880844893,0.11291122198691639,88.98544261413966
20,0.025,0,0,1,1,0,39.99999986592213,2.8259334317048967e-9,90.70339969815385
25,0.025,0,0,1,1,0,39.99999992048225,1.6759733045823566e-9,90.70339926705694
30,0.025,0,0,1,1,0,39.99999995284044,9.9397173825011e-10,90.70339901138964
35,0.025,0,0,1,1,0,39.99999995284044,9.9397173825011e-10,90.70339901138964
5,0.1,0,0,1,1,0,1.9192076599538122,1.7786739979763766e-6,47.73236663410736
10,0.1,0,0,1,1,0,3.5686514363338495,1.9530142208457058e-6,38.60316702161481
15,0.1,0,0,1,1,0,3.568960014111493,3.034229069109884e-7,38.60275008400039
20,0.1,0,0,1,1,0,3.5684082060942357,7.188468091334776e-7,38.60285790832811
25,0.1,0,0,1,1,0,39.98733755957994,0.11289145114929067,88.98599297899744
30,0.1,0,0,1,1,0,39.99979950040912,0.11291181483589491,88.9854406230828
35,0.1,0,0,1,1,0,39.99987280573367,0.11291013451234272,88.9854403814104
