beta_0_init,k_init,lambda_init,f_1_init,f_2_init,dif,xi,beta_0_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
5,1,0.5,0.3,0.4,0.2857142857142857,0,3.5106307486926536,0.46783038754508943,0.24809127930908131,0.8814955310794381,0.7235696495888742,107.10918943313936
10,1,0.5,0.3,0.4,0.2857142857142857,0,4.299297437909385,1.4310305501393233e-5,7,0.7649899565633782,0.5565479650447045,112.38966797262506
15,1,0.5,0.3,0.4,0.2857142857142857,0,38.54030718410076,0.5375912918411455,1.3106576599411293,0.9988424760035026,0.17526810567747145,120.93641818113305
20,1,0.5,0.3,0.4,0.2857142857142857,0,38.42914796981143,0.5418948091869326,1.3157279838916773,0.9971201292419524,0.17552762836763594,120.93886439003147
5,2,0.5,0.3,0.4,0.2857142857142857,0,3.47756316930928,0.5622959657111547,0.29410225339360885,0.9996828843400491,0.7299873558506422,106.98412407301232
10,2,0.5,0.3,0.4,0.2857142857142857,0,3.6652350894930046,3,1.7091235156663354,0.999998911432617,0.5581484887857628,109.71781086180673
15,2,0.5,0.3,0.4,0.2857142857142857,0,3.4759507939865886,0.5628193903477612,0.2943977420391641,1,0.7298196442653414,106.98391494680034
20,2,0.5,0.3,0.4,0.2857142857142857,0,3.4831315153490356,0.55546357441697225,0.29021741706256793,0.9887633122804071,0.7295407453086863,106.99079604261757
5,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.476091509642577,0.5628250133760409,0.29430036100583545,1,0.7300326160365662,106.98391028370376
10,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.622836416905715,2.530941138811683,1.388847140342633,1,0.5730509910226613,109.59149346276214
15,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.663693086592802,2.9923597217683846,1.7034900045434616,0.9999951432956491,0.5584518700521497,109.71603413810733
20,2.5,0.5,0.3,0.4,0.2857142857142857,0,3.7995458329805576,0.22915692109173705,0.12017529242489473,0.6774932357887669,0.6840733116446559,107.83214322553366
5,1,1,0.3,0.4,0.2857142857142857,0,3.492766631818597,0.5387900803667734,0.2800943145168629,0.9615503100428282,0.731317121786373,107.00951625008508
10,1,1,0.3,0.4,0.2857142857142857,0,3.664033130323709,3,1.7118424444722207,0.9999356506114888,0.5580518702936184,109.71807212106489
15,1,1,0.3,0.4,0.2857142857142857,0,3.5527606888134295,0.24064463560402588,0.23016686208756926,0.9934920526319364,0.5736367684361141,109.23626494270042
20,1,1,0.3,0.4,0.2857142857142857,0,19.796150326723648,0.3956108158790487,1.5431264725753424,0.9999781999376197,0.28155281217947437,121.16891644291499
5,2,1,0.3,0.4,0.2857142857142857,0,3.4763305742992276,0.5623625633010457,0.2943099424761458,1,0.7298990704671241,106.98392750954851
10,2,1,0.3,0.4,0.2857142857142857,0,3.5807319422107007,2.127625447032587,1.2885973583237944,0.9746710933597126,0.5745579459681571,109.56172194800737
15,2,1,0.3,0.4,0.2857142857142857,0,3.6636257795380205,2.995907704176594,1.7068201993567793,1,0.5583528015852626,109.71684465985149
20,2,1,0.3,0.4,0.2857142857142857,0,3.4764480197415124,0.5622331961067719,0.29424879613015464,1,0.7298629505064038,106.9839365346102
5,2.5,1,0.3,0.4,0.2857142857142857,0,3.4762284672934545,0.5624565626877103,0.2942659229430992,1,0.7301719066134233,106.98393848333798
10,2.5,1,0.3,0.4,0.2857142857142857,0,3.6332257831984975,2.687094802781451,1.5584290790639264,1,0.5625714004233378,109.63849861776406
15,2.5,1,0.3,0.4,0.2857142857142857,0,3.571952527088551,1.868553773158213,1.0775182085521398,0.9542379873946683,0.5817024319350894,109.50332949386775
20,2.5,1,0.3,0.4,0.2857142857142857,0,3.6486105046589072,2.8411599505740464,1.6115629238389415,1,0.5632928482886523,109.67878117211171
5,1,0.5,0.5,0.4,0.2857142857142857,0,3.4794263825205958,0.5580382834853492,0.29134189364871826,0.9919945362873048,0.7307384610347433,106.98864171302982
10,1,0.5,0.5,0.4,0.2857142857142857,0,3.5190174646035217,0.5006369896640946,0.2582754776682802,0.9085374236459918,0.7346444502543192,107.05664697049976
15,1,0.5,0.5,0.4,0.2857142857142857,0,3.663820210936359,3,1.709121009604953,1,0.5582974711746058,109.71780634075299
20,1,0.5,0.5,0.4,0.2857142857142857,0,3.663984596937995,2.9994264451456054,1.708791430568901,1,0.5582742887126495,109.71766989501357
5,2,0.5,0.5,0.4,0.2857142857142857,0,3.476560070031507,0.5623892734404994,0.2942354583362379,0.9999878098514193,0.7298394567344143,106.9839330300722
10,2,0.5,0.5,0.4,0.2857142857142857,0,3.4779145167715737,0.5616534506721034,0.2941971435051898,1,0.7293021375730286,106.98396979297931
15,2,0.5,0.5,0.4,0.2857142857142857,0,3.663773363344698,3,1.7099250395497285,1,0.5582740145008803,109.71780592456454
20,2,0.5,0.5,0.4,0.2857142857142857,0,3.607138429805642,2.391697891222139,1.3432702651727457,1,0.5736870090201914,109.53892417827805
5,2.5,0.5,0.5,0.4,0.2857142857142857,0,3.48119546941229,0.551926836669602,0.287574883708182,0.9811048163006384,0.7313720512074908,106.99561262791518
10,2.5,0.5,0.5,0.4,0.2857142857142857,0,3.6186802311063304,0.3641920876863969,0.17953896948736817,0.7522991184125727,0.7398415527518728,107.28290407114886
15,2.5,0.5,0.5,0.4,0.2857142857142857,0,3.648046166338399,2.7674444835470187,1.5630830586750963,0.9987252668374476,0.5621009617010639,109.66427324515448
20,2.5,0.5,0.5,0.4,0.2857142857142857,0,3.646881741056124,2.7986094590223383,1.5854925616323592,1,0.5627624900604633,109.66732421120754
5,1,1,0.5,0.4,0.2857142857142857,0,3.5846753668714664,0.44755535970411403,0.2228579160776984,0.8371763738502271,0.7486724776734525,107.14792135137107
10,1,1,0.5,0.4,0.2857142857142857,0,3.4850864718377554,0.5475468949369877,0.2848714026610095,0.9742989491038776,0.732079882869633,107.0001700085366
15,1,1,0.5,0.4,0.2857142857142857,0,3.846289447516203,3,1.9356961001634598,0.7777965730170332,0.5226275649829033,110.9551427225703
20,1,1,0.5,0.4,0.2857142857142857,0,3.6762825609065506,0.2664993678658406,0.14051075770114613,0.7089737324865605,0.6828887031199727,107.74327031225029
5,2,1,0.5,0.4,0.2857142857142857,0,3.4762769497347605,0.5625183002272167,0.29435553536762027,1,0.7299342394373523,106.98393227065658
10,2,1,0.5,0.4,0.2857142857142857,0,3.663531637122865,3,1.7095262120362376,1,0.5580457705472917,109.71779838614954
15,2,1,0.5,0.4,0.2857142857142857,0,3.66415723695614,3,1.7094633241482522,0.999999999190812,0.5582617891049578,109.71779551565251
20,2,1,0.5,0.4,0.2857142857142857,0,3.5184318660898892,0.5050656267382332,0.2569620508061133,0.9046059195237212,0.7393608050282358,107.05983819239276
5,2.5,1,0.5,0.4,0.2857142857142857,0,3.47614608757977,0.5620851596320391,0.29430484827872916,1,0.7299411975142177,106.98392721417797
10,2.5,1,0.5,0.4,0.2857142857142857,0,3.664114867771687,3,1.7099049208125354,1,0.5582188328477182,109.71780758293298
15,2.5,1,0.5,0.4,0.2857142857142857,0,3.487224460649955,0.5474005276598983,0.2839470981905614,0.9715090538162818,0.7328455257710262,107.0021153324818
20,2.5,1,0.5,0.4,0.2857142857142857,0,3.6646186049908227,3,1.7094666635498899,1,0.5580734893788095,109.71780426462695
5,1,0.5,0.7,0.4,0.2857142857142857,0,3.537237302202947,0.4980026514830415,0.25173605288502265,0.8942918744407856,0.7447513484756934,107.07354757285263
10,1,0.5,0.7,0.4,0.2857142857142857,0,3.692599213065881,0.2840223981728849,0.15450266728603,0.729534740083998,0.7046475512061301,107.50243189318243
15,1,0.5,0.7,0.4,0.2857142857142857,0,3.4812622123650776,0.5554604506783456,0.2896650448069286,0.9870557399542559,0.7311331115123866,106.99172446664355
20,1,0.5,0.7,0.4,0.2857142857142857,0,3.4774662575888877,0.5614462515251163,0.2934434593381333,0.9977445482780296,0.730202209662518,106.98523637284144
5,2,0.5,0.7,0.4,0.2857142857142857,0,3.478374465084542,0.5605445383090581,0.2921103971243918,0.9942565972171244,0.7317937847412737,106.98739763695548
10,2,0.5,0.7,0.4,0.2857142857142857,0,3.4719579658416517,0.5757330893571658,0.2940341780909789,1,0.7391319851138499,106.98939538473616
15,2,0.5,0.7,0.4,0.2857142857142857,0,3.4967447558667075,0.5350645732999846,0.27635293989507326,0.9522774761358348,0.7347517821748673,107.01647270128979
20,2,0.5,0.7,0.4,0.2857142857142857,0,3.492169946721069,0.5512480546585503,0.2895322335868433,0.9891678740625539,0.7278842438219505,106.99161699695127
5,2.5,0.5,0.7,0.4,0.2857142857142857,0,3.476927581015132,0.5631810798898422,0.2944315998862735,0.9999955596366974,0.7295968769640615,106.9839367877135
10,2.5,0.5,0.7,0.4,0.2857142857142857,0,3.636114046060979,2.7029520595037697,1.5276912996412524,1,0.5659083006099663,109.64072306613919
15,2.5,0.5,0.7,0.4,0.2857142857142857,0,3.6621799315410275,3,1.7123785788371264,0.9999979020415707,0.5582623298879628,109.71781996182965
20,2.5,0.5,0.7,0.4,0.2857142857142857,0,3.664157606184728,3,1.7091468487166168,0.9999968185177525,0.5582905332191992,109.71780252071319
5,1,1,0.7,0.4,0.2857142857142857,0,3.802165887487626,0.24539281674235988,0.11064711338378591,0.6346714335313601,0.7571039897779119,107.54862078507816
10,1,1,0.7,0.4,0.2857142857142857,0,3.4764243495431355,0.5622529698018608,0.29418539469927785,0.9995216419457493,0.7300588273978534,106.98420470868238
15,1,1,0.7,0.4,0.2857142857142857,0,3.4779644444819935,0.5609826103070561,0.29308941929881344,0.9965769391180456,0.7304054871249102,106.98590467949914
20,1,1,0.7,0.4,0.2857142857142857,0,3.6647019953037185,3,1.7100949938714556,0.9999994421887795,0.5579673618678489,109.7178035295502
5,2,1,0.7,0.4,0.2857142857142857,0,3.4766340990205764,0.5630696496571097,0.2943578810660093,1,0.7300772011301111,106.98392513569993
10,2,1,0.7,0.4,0.2857142857142857,0,3.4768490843653557,0.5628880497559487,0.2944293897834017,1,0.7300534526863687,106.98393033120178
15,2,1,0.7,0.4,0.2857142857142857,0,3.6455002833878383,2.8061849742369125,1.5755601387244957,1,0.565136301460724,109.67025957392683
20,2,1,0.7,0.4,0.2857142857142857,0,3.6651153364262408,3,1.710318960664389,0.9998481328102742,0.5578424422560981,109.71842158671491
5,2.5,1,0.7,0.4,0.2857142857142857,0,3.481582292181221,0.5551333777886803,0.2891711697905409,0.9857484348333965,0.7315446877274334,106.99256726183908
