beta_0_init,dif,k,lambda_,xi_fit,f_1_fit,f_2_fit,beta_0_fit,nlogll
5,0,0,0,0,1,1,5.891630859374979,121.68218694619537
10,0,0,0,0,1,1,5.891630859375086,121.68218694619378
15,0,0,0,0,1,1,40,129.46678177788095
20,0,0,0,0,1,1,40,129.46678177788095
25,0,0,0,0,1,1,40,129.46678177788095
30,0,0,0,0,1,1,40,129.46678177788095
35,0,0,0,0,1,1,40,129.46678177788095
