beta_0_init,xi_init,f_1_init,f_2_init,dif,k,lambda_,beta_0_fit,xi_fit,f_1_fit,f_2_fit,nlogll
10,0.1,0.3,0.8,0.2857142857142857,0,0,6.0987327762421675,0.03995030453347923,1,0.4982740856620851,112.52767604697318
15,0.1,0.3,0.8,0.2857142857142857,0,0,15.08511790269279,0.11541160364730865,1,0.5136938897534422,114.43308026064926
20,0.1,0.3,0.8,0.2857142857142857,0,0,5.880885728490247,0.03608390126558323,0.9675897740399624,0.5045244287828263,112.48928284119268
5,0.057,0.5,0.8,0.2857142857142857,0,0,4.300144911745831,0,0.7647951646989831,0.5566972010996566,112.389711884977
10,0.057,0.5,0.8,0.2857142857142857,0,0,6.0981342905550004,0.039930750715116606,1,0.49805591451860254,112.52769070519541
15,0.057,0.5,0.8,0.2857142857142857,0,0,5.412474944801257,0.02701360308666776,0.9052128421279704,0.5189732645736914,112.43904352392691
20,0.057,0.5,0.8,0.2857142857142857,0,0,6.103366727884441,0.039988105970683537,1,0.4982187515808468,112.52770419273726
5,0.025,0.5,0.8,0.2857142857142857,0,0,4.904494491976158,0.015500386269341694,0.8419455486424692,0.5358411302578028,112.42041066029147
10,0.025,0.5,0.8,0.2857142857142857,0,0,6.063364267221964,0.03926401081323106,0.9946745262525136,0.49856687879528727,112.52104871023732
15,0.025,0.5,0.8,0.2857142857142857,0,0,6.086286783740372,0.039709963988211694,0.9974446767688305,0.49864787922823844,112.52446200975086
20,0.025,0.5,0.8,0.2857142857142857,0,0,6.010342460694245,0.038463695399962056,0.9864339574332566,0.5006369806075528,112.51079031945568
5,0.1,0.5,0.8,0.2857142857142857,0,0,4.717992226868226,0.011028603903630599,0.8192924085076124,0.5426134640608644,112.41610902664961
10,0.1,0.5,0.8,0.2857142857142857,0,0,5.352365003824284,0.025781971062282756,0.8972903009068658,0.5212366434686319,112.43518072775656
15,0.1,0.5,0.8,0.2857142857142857,0,0,5.855591093340509,0.03567652211644333,0.9668524455187222,0.5060236736473167,112.489099968979
20,0.1,0.5,0.8,0.2857142857142857,0,0,19.606769381432933,0.1379751385054891,1,0.45560788541989283,114.9533714873598
5,0.057,0.7,0.8,0.2857142857142857,0,0,5.543178736358968,0.029686971337195348,0.9177509711201218,0.5161674708635322,112.44699197978608
10,0.057,0.7,0.8,0.2857142857142857,0,0,6.089867266061104,0.039797180762542655,0.9983504391413802,0.49852811976428313,112.52559582487096
15,0.057,0.7,0.8,0.2857142857142857,0,0,6.103579012975702,0.040057540929996686,1,0.4982502542348717,112.52770369906541
20,0.057,0.7,0.8,0.2857142857142857,0,0,6.0998883980708545,0.03997789773297123,1,0.4982254311863594,112.52767137291102
5,0.025,0.7,0.8,0.2857142857142857,0,0,5.009985113766632,0.018103002483742484,0.85423582802261,0.5327729401343271,112.42256082020282
10,0.025,0.7,0.8,0.2857142857142857,0,0,6.101454459644739,0.03999110624643165,0.9999790516097804,0.49827685036654257,112.52767725558043
15,0.025,0.7,0.8,0.2857142857142857,0,0,6.099658105792875,0.039969374037202715,1,0.49839152607832127,112.52764810130309
20,0.025,0.7,0.8,0.2857142857142857,0,0,6.098834405021858,0.03993939207766767,1,0.4983857907197144,112.527712827329
5,0.1,0.7,0.8,0.2857142857142857,0,0,4.969829654845103,0.017191075464979347,0.8497369640484724,0.5342516515893119,112.42172752584935
10,0.1,0.7,0.8,0.2857142857142857,0,0,6.0892082961307175,0.03974599288404239,0.9980034479946294,0.4985239568801319,112.52518149314133
15,0.1,0.7,0.8,0.2857142857142857,0,0,5.794959180946391,0.03449771956659824,0.9557402456272215,0.5067231233260256,112.47707007544001
20,0.1,0.7,0.8,0.2857142857142857,0,0,6.101051656185092,0.04001167648362198,1,0.4981392110430835,112.52768410583087
5,0.057,0.9,0.8,0.2857142857142857,0,0,5.291256493636446,0.024433953543226628,0.886344189746691,0.524158979889306,112.43140955897476
10,0.057,0.9,0.8,0.2857142857142857,0,0,6.098270960958403,0.0399324196442659,1,0.4982930939552814,112.52763821042392
15,0.057,0.9,0.8,0.2857142857142857,0,0,6.031745294161212,0.03863281050159838,0.9912022639331957,0.5012380436952906,112.51736312161114
20,0.057,0.9,0.8,0.2857142857142857,0,0,6.0993735149976835,0.03991471142309143,1,0.4983119680773551,112.5277070635454
5,0.025,0.9,0.8,0.2857142857142857,0,0,5.156916900247037,0.021462079294520462,0.8710259597226779,0.5281902111395587,112.42638688039682
10,0.025,0.9,0.8,0.2857142857142857,0,0,6.101089949534271,0.040007807410180896,1,0.49839197163434124,112.52763757527416
15,0.025,0.9,0.8,0.2857142857142857,0,0,6.1005527317415655,0.03999929890963609,1,0.4983086814742113,112.52766760703797
20,0.025,0.9,0.8,0.2857142857142857,0,0,5.20127215851152,0.02266828826747872,0.878040101325887,0.527336705980198,112.42816001000162
5,0.1,0.9,0.8,0.2857142857142857,0,0,5.070453328898693,0.019440438631459153,0.8611171887210293,0.5305352425804,112.4239992982387
10,0.1,0.9,0.8,0.2857142857142857,0,0,6.0787322966028405,0.03953738584043182,0.9965298868804514,0.49878764256138086,112.52334343953672
15,0.1,0.9,0.8,0.2857142857142857,0,0,6.099559888189146,0.0399680297346847,1,0.49831574622772856,112.52763426033631
20,0.1,0.9,0.8,0.2857142857142857,0,0,20.334610440816313,0.14105400321748732,0.9999833923119325,0.44821800085639807,115.03378142570206
5,0.057,0.3,1,0.2857142857142857,0,0,4.298649875000697,0,0.7652054290951615,0.557008852705513,112.38972126498773
10,0.057,0.3,1,0.2857142857142857,0,0,9.906045262562053,0.07461273436993157,0.25347502141876316,0.49550392316156444,116.77044443174618
15,0.057,0.3,1,0.2857142857142857,0,0,14.799472672812989,0.10709546021712225,0.2096166202438151,0.420528855515118,117.18630496056628
20,0.057,0.3,1,0.2857142857142857,0,0,18.90332397217417,0.12662210685252143,0.19374491402932936,0.41500159820082383,117.62204444030374
5,0.025,0.3,1,0.2857142857142857,0,0,4.297001748794953,0,0.7651214894567928,0.556980212091551,112.38970163192941
10,0.025,0.3,1,0.2857142857142857,0,0,9.825083662560347,0.07386520958449078,0.25390387322219277,0.4984477088515533,116.7826269721796
15,0.025,0.3,1,0.2857142857142857,0,0,16.199008643554045,0.11522598664000513,0.21482029853852133,1,124.35411844907134
20,0.025,0.3,1,0.2857142857142857,0,0,18.720676693118612,0.13149208639253956,1,0.4615331635624579,114.88253007300301
5,0.1,0.3,1,0.2857142857142857,0,0,4.296697216303171,0,0.7649417267797534,0.55700326417474,112.3897100009127
10,0.1,0.3,1,0.2857142857142857,0,0,6.09825815886423,0.03992935716579913,1,0.49824657640003217,112.52765111291001
15,0.1,0.3,1,0.2857142857142857,0,0,15.99525674732273,0.11336378421885487,0.20449495557395828,0.4186623280483119,117.35120899065069
20,0.1,0.3,1,0.2857142857142857,0,0,19.31984642271722,0.12835923027800653,0.1926646304509456,0.4144427495965707,117.64841664167683
5,0.057,0.5,1,0.2857142857142857,0,0,4.298640286865595,0,0.7647218694810691,0.5567873630579142,112.38970697509289
10,0.057,0.5,1,0.2857142857142857,0,0,5.712345747624743,0.03301358298373973,0.944598020680701,0.5093506302714533,112.46668114439024
15,0.057,0.5,1,0.2857142857142857,0,0,6.100643182911293,0.039976064530068835,1,0.4981487780023856,112.52770866270978
20,0.057,0.5,1,0.2857142857142857,0,0,8.11293081655283,0.060169611540164425,1,1,118.82337004125952
5,0.025,0.5,1,0.2857142857142857,0,0,4.298640489480007,0,0.7651225264255094,0.5566035655074205,112.38968350240492
10,0.025,0.5,1,0.2857142857142857,0,0,6.099359468201422,0.03993825712740272,1,0.4983566262911211,112.52771346013428
15,0.025,0.5,1,0.2857142857142857,0,0,6.098934691795719,0.03994647378880245,1,0.49809025808025176,112.52766995955042
20,0.025,0.5,1,0.2857142857142857,0,0,6.106545751596317,0.040049308586312324,1,0.49817744727657554,112.52771786467981
5,0.1,0.5,1,0.2857142857142857,0,0,4.299034794908261,0,0.7650169583709935,0.55653541472859,112.38968192526555
10,0.1,0.5,1,0.2857142857142857,0,0,6.104206172566875,0.040032143597020224,1,0.49832101356639086,112.52769528860019
15,0.1,0.5,1,0.2857142857142857,0,0,6.102938698778226,0.04005037137963773,1,0.4981779875697737,112.52768327477695
20,0.1,0.5,1,0.2857142857142857,0,0,6.097845262767846,0.03991918513270208,1,0.49831441571876306,112.5276727463583
5,0.057,0.7,1,0.2857142857142857,0,0,4.2999595862117905,0,0.7649180761875137,0.5564793818624943,112.3897022441266
10,0.057,0.7,1,0.2857142857142857,0,0,5.238774285068764,0.02330708497075306,0.8838989963382353,0.5248999882879923,112.4299341658003
15,0.057,0.7,1,0.2857142857142857,0,0,5.34958029159262,0.02578981692738011,0.8951429077182729,0.5209318275900428,112.43458906199794
20,0.057,0.7,1,0.2857142857142857,0,0,6.096223331570851,0.03983240349881861,0.9995336163980459,0.498234659159963,112.52711884933727
5,0.025,0.7,1,0.2857142857142857,0,0,4.298037560443497,0,0.764867052240277,0.5567757586361408,112.38969513648605
10,0.025,0.7,1,0.2857142857142857,0,0,6.071859951525074,0.03949928491025129,0.9957945688579999,0.4991145688281066,112.52240517541418
15,0.025,0.7,1,0.2857142857142857,0,0,14.554601308308344,0.11225089804073804,1,0.5206135483517006,114.37101524603355
20,0.025,0.7,1,0.2857142857142857,0,0,6.096735332791587,0.03989117292803323,1,0.49795626382460456,112.52770007496292
5,0.1,0.7,1,0.2857142857142857,0,0,4.298482631269604,0,0.764821004756746,0.5569031997378932,112.38971982648738
10,0.1,0.7,1,0.2857142857142857,0,0,6.10466648144901,0.040066535979201304,1,0.498290248494836,112.52772355366885
15,0.1,0.7,1,0.2857142857142857,0,0,6.09750827647498,0.0399365163107024,1,0.49835036044022324,112.52770568520934
20,0.1,0.7,1,0.2857142857142857,0,0,6.102792444767527,0.04007048282114898,1,0.4984616468186417,112.52770846740455
5,0.057,0.9,1,0.2857142857142857,0,0,4.31616960824887,4.0783733995630473e-4,0.7667504681157905,0.5557508790801485,112.39138943969121
10,0.057,0.9,1,0.2857142857142857,0,0,6.09997377334374,0.039959948924647035,1,0.49844182634170386,112.5276839420186
15,0.057,0.9,1,0.2857142857142857,0,0,5.997156819985873,0.03823524843115768,0.9845142247725969,0.5013108643460222,112.50847483317702
20,0.057,0.9,1,0.2857142857142857,0,0,6.101978809411659,0.040038526787371354,1,0.4981344444651211,112.52767447287964
5,0.025,0.9,1,0.2857142857142857,0,0,4.2976213894154585,0,0.7649511506035502,0.5567901190224191,112.38970129089506
10,0.025,0.9,1,0.2857142857142857,0,0,6.10188475237108,0.03999837416811666,1,0.49829975312693486,112.52769021037321
15,0.025,0.9,1,0.2857142857142857,0,0,14.176594287028372,0.10991879268146301,1,0.5255434006667448,114.32684255331627
20,0.025,0.9,1,0.2857142857142857,0,0,6.101586143207799,0.03998253807130218,1,0.49820994634908333,112.52769095510318
5,0.1,0.9,1,0.2857142857142857,0,0,5.9124123085057665,0.03673737394953591,0.9523296795919486,0.506974708290231,112.48713512723852
10,0.1,0.9,1,0.2857142857142857,0,0,6.0971773962886395,0.03990453330050241,1,0.49829242923379086,112.52766905603474
15,0.1,0.9,1,0.2857142857142857,0,0,6.104216232004786,0.04005764376202913,1,0.4982467772573116,112.52772458597693
20,0.1,0.9,1,0.2857142857142857,0,0,8.112987750157835,0.0601689147545521,1,1,118.82337002012186
5,0.057,0.3,0.4,0.7142857142857143,0,0,4.174666277222583,0,0.71132068787182,0.5646899105167325,111.96045210317465
10,0.057,0.3,0.4,0.7142857142857143,0,0,10.000566089957116,0.08186661097317371,0.1832531803167674,0.5189366113683269,116.20959219991519
15,0.057,0.3,0.4,0.7142857142857143,0,0,5.940214057564171,0.03736832031251667,0.9764578997298814,0.5028694999023147,112.4801559694101
20,0.057,0.3,0.4,0.7142857142857143,0,0,19.9539384226746,0.13951474903779393,0.9998653472482766,0.45188568411745167,114.99224302252138
5,0.025,0.3,0.4,0.7142857142857143,0,0,4.174666277222583,0,0.71132068787182,0.5646899105167325,111.96045210317465
10,0.025,0.3,0.4,0.7142857142857143,0,0,11.444181037326873,0.0942888387995203,0.17188365539610578,0.47627395730338223,116.10118607981177
15,0.025,0.3,0.4,0.7142857142857143,0,0,4.990593727541024,0.019308454760303313,0.8450740971095821,0.5346924867651641,112.22871627618426
20,0.025,0.3,0.4,0.7142857142857143,0,0,4.153255869512471,1.3187334704672609e-5,0.7152379198161615,0.566097866370812,111.96402160710126
5,0.1,0.3,0.4,0.7142857142857143,0,0,4.1767319435291546,0,0.7109221028098358,0.5644364548640493,111.96047329501387
10,0.1,0.3,0.4,0.7142857142857143,0,0,4.654287101442604,0.01145413743337198,0.7900171159696416,0.5426866908584453,112.12889006228161
15,0.1,0.3,0.4,0.7142857142857143,0,0,6.095245861921624,0.03987858421119809,0.9991485067263565,0.49825000954967863,112.52597279218739
20,0.1,0.3,0.4,0.7142857142857143,0,0,5.832341060423761,0.03541245511273763,0.9610324379499454,0.5048177953067048,112.44942069929951
5,0.057,0.5,0.4,0.7142857142857143,0,0,4.175407392618661,0,0.7111681954094569,0.5645464021765159,111.96046753992243
10,0.057,0.5,0.4,0.7142857142857143,0,0,4.171188666523442,1.9508217121899033e-5,0.7067572211318518,0.5658071827485605,111.96349937093142
15,0.057,0.5,0.4,0.7142857142857143,0,0,6.00054784701773,0.03834525683646138,0.9857646889784283,0.5008286529101535,112.498947440363
