beta_0_init,k_init,lambda_init,dif,xi_fit,f_1_fit,f_2_fit,beta_0_fit,k_fit,lambda_fit,nlogll
5,1,0.5,0,0,1,1,3.433161960265763,0.6761884965086096,0.2849151899796297,108.70992380431093
10,1,0.5,0,0,1,1,3.5690951337457206,3,1.3322246720533113,112.50107428363806
15,1,0.5,0,0,1,1,3.4336722436565568,0.6757911530368971,0.2847919422950045,108.7099247610085
20,1,0.5,0,0,1,1,19.413276911031918,0.4062599052077648,1.472554281649753,129.11222525655717
25,1,0.5,0,0,1,1,24.477547931585526,0.44056768153264797,1.327749008373546,129.08602365960368
30,1,0.5,0,0,1,1,40,0.5502870868713279,1.2207386673297558,128.98127520979708
35,1,0.5,0,0,1,1,34.685959917113195,0.5144960085078985,1.2374516953619183,129.01099788754388
5,2,0.5,0,0,1,1,3.4332857540347557,0.6756856383580151,0.2848850888327563,108.70992650725907
10,2,0.5,0,0,1,1,3.5690913850472685,3,1.3322287321213495,112.50107428383143
15,2,0.5,0,0,1,1,3.569096092109441,3,1.3322334368663142,112.5010742840371
20,2,0.5,0,0,1,1,3.5691019410083684,3,1.3322221751941319,112.50107428388064
25,2,0.5,0,0,1,1,3.5691010359895396,3,1.332221777485263,112.50107428374037
30,2,0.5,0,0,1,1,3.569096797405238,3,1.3322256893335598,112.5010742836506
35,2,0.5,0,0,1,1,3.4334361425796285,0.6759810006467655,0.28485114823801816,108.70992607267992
5,2.5,0.5,0,0,1,1,3.433694528056599,0.675796333720303,0.28477808520078385,108.70992493369835
10,2.5,0.5,0,0,1,1,3.433433117918999,0.6759782992684141,0.28485130429800565,108.70992607275946
15,2.5,0.5,0,0,1,1,3.433183635515013,0.6762049075175308,0.28488936099870704,108.70992395524382
20,2.5,0.5,0,0,1,1,3.433440957533569,0.6759837644457345,0.28484678295550125,108.70992607676847
25,2.5,0.5,0,0,1,1,3.4562406100991825,1.952620259441278,0.8407324424820107,111.81588091225551
30,2.5,0.5,0,0,1,1,3.4334286875735818,0.6759796803359479,0.28484959577122815,108.70992607248284
35,2.5,0.5,0,0,1,1,3.433318446682618,0.6762739163367906,0.28480866808092875,108.70992598758335
5,1,1,0,0,1,1,3.43330426932571,0.6760458183177942,0.2848702530637211,108.70992414598167
10,1,1,0,0,1,1,3.5691023800308095,3,1.3322247981067417,112.50107428383822
15,1,1,0,0,1,1,3.5690953274742068,3,1.332230186572981,112.50107428381882
20,1,1,0,0,1,1,3.5690992855875385,3,1.3322278840757513,112.50107428377675
25,1,1,0,0,1,1,3.56909928647553,3,1.332225743281275,112.50107428376792
30,1,1,0,0,1,1,3.5690951356509655,3,1.3322204099521273,112.50107428373668
35,1,1,0,0,1,1,3.433605401235735,0.6757810363888761,0.2848178959268123,108.70992437985522
5,2,1,0,0,1,1,3.4339074946345853,0.6759284743623049,0.28485896108852504,108.70992597884887
10,2,1,0,0,1,1,3.4334329177730942,0.6759828758115045,0.28484985507402794,108.70992607284346
15,2,1,0,0,1,1,3.569098573046269,3,1.3322217260858946,112.50107428373495
20,2,1,0,0,1,1,3.569093187178053,3,1.3322269666626663,112.50107428372621
25,2,1,0,0,1,1,3.5690928437924807,3,1.332234861181191,112.50107428408057
30,2,1,0,0,1,1,3.5690982698965494,3,1.3322268122356582,112.50107428372523
35,2,1,0,0,1,1,3.5691022088818682,3,1.3322236346599818,112.50107428378395
5,2.5,1,0,0,1,1,3.4334917874421325,0.6757630355437121,0.2848682710968199,108.70992502830615
10,2.5,1,0,0,1,1,3.5690957525209086,3,1.3322282604862696,112.5010742837386
15,2.5,1,0,0,1,1,3.569099830439379,3,1.3322256171984308,112.50107428373707
20,2.5,1,0,0,1,1,3.5690931494727716,3,1.332221625450297,112.50107428372998
25,2.5,1,0,0,1,1,3.569094859443174,3,1.3322273897458583,112.50107428376052
30,2.5,1,0,0,1,1,3.569099137249119,3,1.332226121900673,112.50107428372702
35,2.5,1,0,0,1,1,3.5691009628340487,3,1.3322217031679169,112.50107428375503
