beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,rmse
5,0.057,1,0.5,0.285714286,1,1,9.634044049,0.08950597,0.627056114,0.16266977,8.946129268
10,0.057,1,0.5,0.285714286,1,1,9.718654838,0.09015186,0.628339185,0.162414327,8.946407839
15,0.057,1,0.5,0.285714286,1,1,9.71351742,0.09014076,0.628540436,0.16201438,8.945026255
20,0.057,1,0.5,0.285714286,1,1,29.76399709,0.188146597,0.829358837,0.102971135,12.19037854
5,0.025,1,0.5,0.285714286,1,1,9.726687426,0.090287612,0.628121931,0.161893501,8.94528841
10,0.025,1,0.5,0.285714286,1,1,9.767996681,0.090637724,0.628845232,0.161480513,8.945300521
15,0.025,1,0.5,0.285714286,1,1,3.976223218,0.012248169,0.51311463,0.281913018,11.4301823
20,0.025,1,0.5,0.285714286,1,1,9.707926636,0.090094311,0.628267033,0.162074101,8.945060639
5,0.1,1,0.5,0.285714286,1,1,9.710755702,0.0901206,0.628369673,0.16206805,8.945056548
10,0.1,1,0.5,0.285714286,1,1,9.774077049,0.090725081,0.629298634,0.16115867,8.946357005
15,0.1,1,0.5,0.285714286,1,1,9.705796027,0.090084801,0.628151922,0.162066522,8.945058133
20,0.1,1,0.5,0.285714286,1,1,9.692889995,0.090004363,0.627756113,0.162094471,8.945502906
5,0.057,2,0.5,0.285714286,1,1,9.713643076,0.090169738,0.628644964,0.162031799,8.945106056
10,0.057,2,0.5,0.285714286,1,1,9.730770651,0.090293993,0.629071605,0.161819303,8.945138179
15,0.057,2,0.5,0.285714286,1,1,9.711023832,0.090121396,0.628418162,0.162059106,8.945020293
20,0.057,2,0.5,0.285714286,1,1,9.793848385,0.090863344,0.629323613,0.161360506,8.945321745
5,0.025,2,0.5,0.285714286,1,1,9.710084993,0.090108395,0.628351246,0.162068353,8.945023175
10,0.025,2,0.5,0.285714286,1,1,4.348900621,0.020470379,0.511736322,0.261275421,11.05968143
15,0.025,2,0.5,0.285714286,1,1,9.790138363,0.090827906,0.629118635,0.161439689,8.945348604
20,0.025,2,0.5,0.285714286,1,1,9.717492155,0.090169528,0.628741158,0.161987245,8.945047657
5,0.1,2,0.5,0.285714286,1,1,9.750101175,0.09046638,0.628859338,0.161717439,8.945223149
10,0.1,2,0.5,0.285714286,1,1,9.731825353,0.090313079,0.628458731,0.161847369,8.945231351
15,0.1,2,0.5,0.285714286,1,1,9.719403029,0.090186153,0.628854182,0.16200435,8.945066223
20,0.1,2,0.5,0.285714286,1,1,5.301871566,0.037246774,0.546977056,0.229634855,10.1967982
5,0.057,2.5,0.5,0.285714286,1,1,9.775889636,0.090678269,0.629115319,0.161451417,8.945307275
10,0.057,2.5,0.5,0.285714286,1,1,9.707632466,0.090088738,0.628209991,0.162042204,8.945039205
