beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,rmse
15,0.057,2.5,0.5,0.285714286,1,1,9.253080542,0.08600735,0.62011212,0.166921489,8.95970398
20,0.057,2.5,0.5,0.285714286,1,1,9.199077901,0.085358651,0.619998108,0.166549186,8.956241553
5,0.025,2.5,0.5,0.285714286,1,1,4.631569926,0.025517198,0.531004108,0.24901024,10.74759852
10,0.025,2.5,0.5,0.285714286,1,1,9.717182914,0.090168922,0.628730799,0.161988875,8.945042726
15,0.025,2.5,0.5,0.285714286,1,1,9.69029472,0.089944598,0.628096002,0.162237579,8.945206352
20,0.025,2.5,0.5,0.285714286,1,1,3.82822244,0.00899079,0.508955251,0.290697908,11.60509253
5,0.1,2.5,0.5,0.285714286,1,1,9.714478665,0.090156318,0.628622324,0.162025491,8.945028722
10,0.1,2.5,0.5,0.285714286,1,1,10.08736424,0.093531241,0.634537925,0.159443527,8.951580882
15,0.1,2.5,0.5,0.285714286,1,1,38.92471254,0.211084823,0.881343724,0.092887756,13.36175269
20,0.1,2.5,0.5,0.285714286,1,1,39.6346249,0.212614604,0.885042543,0.092263277,13.44030271
5,0.057,1,1,0.285714286,1,1,9.713524636,0.09015771,0.628640285,0.162201121,8.945207969
10,0.057,1,1,0.285714286,1,1,9.706425113,0.09008138,0.628174937,0.162130047,8.945040068
15,0.057,1,1,0.285714286,1,1,9.725473852,0.090251267,0.628603306,0.161936441,8.945118578
20,0.057,1,1,0.285714286,1,1,10.0559708,0.093185689,0.633648503,0.159436335,8.949407646
5,0.025,1,1,0.285714286,1,1,8.959886297,0.083195809,0.616063727,0.169446251,8.972662925
10,0.025,1,1,0.285714286,1,1,9.70351835,0.090050809,0.628123808,0.162036791,8.945110296
15,0.025,1,1,0.285714286,1,1,9.702475465,0.090043383,0.627942339,0.162147327,8.945066906
20,0.025,1,1,0.285714286,1,1,9.824812038,0.09111155,0.629532519,0.161385778,8.946182155
5,0.1,1,1,0.285714286,1,1,3.02064711,0.078254515,0.511562223,0.271234335,47.99812258
10,0.1,1,1,0.285714286,1,1,9.826909487,0.091203771,0.63134658,0.161065958,8.946168692
15,0.1,1,1,0.285714286,1,1,9.628805866,0.089430887,0.626695809,0.162907633,8.945875313
20,0.1,1,1,0.285714286,1,1,9.712450935,0.090135792,0.628559671,0.161927168,8.945148535
5,0.057,2,1,0.285714286,1,1,9.714268614,0.09014356,0.628674769,0.16202747,8.945075359
10,0.057,2,1,0.285714286,1,1,9.714878258,0.090161306,0.628286555,0.162061038,8.945074873
15,0.057,2,1,0.285714286,1,1,9.670400612,0.089769183,0.628707615,0.162467152,8.945508046
20,0.057,2,1,0.285714286,1,1,9.705200125,0.090067669,0.628217761,0.162152439,8.945078035
5,0.025,2,1,0.285714286,1,1,9.732116113,0.090297539,0.629460562,0.161834141,8.945267247
10,0.025,2,1,0.285714286,1,1,9.741550685,0.090336793,0.629944448,0.161639383,8.945983845
15,0.025,2,1,0.285714286,1,1,9.68044353,0.08981224,0.62753948,0.162218369,8.945348842
20,0.025,2,1,0.285714286,1,1,5.523791545,0.041193034,0.561551057,0.224101355,10.08913131
5,0.1,2,1,0.285714286,1,1,9.716549358,0.090175985,0.628380311,0.162041959,8.94506539
10,0.1,2,1,0.285714286,1,1,9.708357914,0.090095352,0.628246416,0.162019251,8.945046104
15,0.1,2,1,0.285714286,1,1,10.07878434,0.093254085,0.631212207,0.158870505,8.95397789
20,0.1,2,1,0.285714286,1,1,6.178645976,0.050435409,0.565356292,0.207466032,9.671985985
5,0.057,2.5,1,0.285714286,1,1,9.743939171,0.090407672,0.628935182,0.161813884,8.94521482
10,0.057,2.5,1,0.285714286,1,1,9.709393115,0.090049333,0.627792555,0.161200486,8.949573255
15,0.057,2.5,1,0.285714286,1,1,3.689907122,0.005800228,0.505064481,0.298899585,11.77692664
20,0.057,2.5,1,0.285714286,1,1,9.919454264,0.091958634,0.632689174,0.160342009,8.947039166
5,0.025,2.5,1,0.285714286,1,1,3.683187652,0.0056566,0.504453094,0.300016325,11.78540471
10,0.025,2.5,1,0.285714286,1,1,9.628570434,0.089477925,0.626695111,0.162313077,8.948065198
15,0.025,2.5,1,0.285714286,1,1,3.714161001,0.006373057,0.505968398,0.296765887,11.74590293
20,0.025,2.5,1,0.285714286,1,1,9.656134482,0.089674509,0.627185588,0.162400743,8.945792085
5,0.1,2.5,1,0.285714286,1,1,9.383873761,0.087132262,0.619985183,0.165722813,8.957880092
10,0.1,2.5,1,0.285714286,1,1,9.792523374,0.090828132,0.629097376,0.161483709,8.945517966
15,0.1,2.5,1,0.285714286,1,1,7.600468992,0.068624951,0.602408135,0.184451096,9.195049776
20,0.1,2.5,1,0.285714286,1,1,9.611685,0.089233862,0.626225446,0.162664854,8.94594471
