beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,rmse
5,0.057,1,0.5,0.3,0.6,0.2857142857142857,4.147952990243271,2.92915033794916e-6,2.999961651832404,1.8544249468011689,0.9999790677111816,0.001907407409574069,29.90262821266856
10,0.057,1,0.5,0.3,0.6,0.2857142857142857,6.165938610552216,0.040699729603559776,0.5329821869946185,0.19814117760728905,0.8954949382415656,0.7902641390896157,8.333591111684388
15,0.057,1,0.5,0.3,0.6,0.2857142857142857,4.5156470224411045,0.015173471361728808,0.5662520428977307,0.2695752939178622,0.9935378349279995,0.007740698017485836,8.964431714737778
20,0.057,1,0.5,0.3,0.6,0.2857142857142857,4.449725873769017,0.013895137209383068,0.5618814417447011,0.27160766397471897,0.9891264636804354,0.010409630321756957,8.974927103433151
5,0.025,1,0.5,0.3,0.6,0.2857142857142857,4.439067583608436,0.013568958746475068,0.5629385282244185,0.2736322289053932,0.9822799270426423,0.7340249340463332,7.947922098823251
10,0.025,1,0.5,0.3,0.6,0.2857142857142857,4.357465523988444,0.012102512249924646,0.5605024166977065,0.2761363915052407,0.990269445783362,0.02266900991363502,8.973205803382443
15,0.025,1,0.5,0.3,0.6,0.2857142857142857,4.802464532057503,0.019948673961054708,0.5490054454732005,0.25053852250007713,0.9515107198595049,0.7488823497416276,8.068280447132233
20,0.025,1,0.5,0.3,0.6,0.2857142857142857,4.93158939710937,0.02181309007694976,0.5204421630273608,0.23844818554442776,0.9117843332150783,0.6574700358881621,8.463052572251058
5,0.1,1,0.5,0.3,0.6,0.2857142857142857,1.9098252043137887,3.7047690631286656e-5,0.11066012669146552,3.1580488182514355e-4,0.9400301203985936,0.9999715397874878,47.206951317544366
10,0.1,1,0.5,0.3,0.6,0.2857142857142857,9.266652826133484,0.07561243239267273,0.6256414419903027,0.16178571035916234,0.9446991400686378,0.9695423865047799,9.084776064693436
15,0.1,1,0.5,0.3,0.6,0.2857142857142857,6.011632563362001,0.039206301859890214,0.5914252928906836,0.21984521407427066,0.9766364868335375,0.756164627359835,8.043318204351579
20,0.1,1,0.5,0.3,0.6,0.2857142857142857,4.485029308484978,0.014601943990029453,0.566891968793451,0.2715569420339401,0.9954555450237044,0.004223247641285732,8.96157479274608
5,0.057,2,0.5,0.3,0.6,0.2857142857142857,4.895079526952982,0.021846307742946103,0.569213841269349,0.25409595439852584,0.9786178225806981,0.737982006492773,7.930778555574669
10,0.057,2,0.5,0.3,0.6,0.2857142857142857,4.807407517900863,0.020335124220193068,0.5724373368160611,0.2583600047300428,0.9854652789364426,0.7413833311430438,7.901981794927697
