beta_0_init,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,dif,beta_0_fit,rmse
5,0,0,0,1,1,0,1.600533053335984,50.878611952029445
10,0,0,0,1,1,0,9.1158079223997035,271.6672812537954
15,0,0,0,1,1,0,39.999998854893335,263.8973888389741
20,0,0,0,1,1,0,39.9999981027252,263.8973902365841
25,0,0,0,1,1,0,39.99999885489342,263.8973888331968
30,0,0,0,1,1,0,39.99999905136268,263.89738847079326
35,0,0,0,1,1,0,39.999999214123164,263.89738817322063
