beta_0_init,f_1_init,f_2_init,xi_fit,k_fit,lambda_fit,dif,beta_0_fit,f_1_fit,f_2_fit,rmse
5,0.3,0.4,0,0,0,0.2857142857142857,4.00467402514026,0.5328769334912102,0.7020908490795481,105.86737230122628
10,0.3,0.4,0,0,0,0.2857142857142857,9.122880394870666,0.9999970761521992,0.0014740311875771628,267.829522909711
15,0.3,0.4,0,0,0,0.2857142857142857,39.99999273980349,0.9999988248258515,3.2228218616037196e-7,258.33638440957037
20,0.3,0.4,0,0,0,0.2857142857142857,39.99999045670238,0.9999985263766795,3.4795794118247514e-7,258.3363845588424
25,0.3,0.4,0,0,0,0.2857142857142857,39.99999644333091,0.9999996212195302,1.2638461699410186e-7,258.336379475497
5,0.5,0.4,0,0,0,0.2857142857142857,4.004848979683362,0.5328949482447507,0.499333240168118,105.91799499586571
10,0.5,0.4,0,0,0,0.2857142857142857,9.122762724408794,0.9999932732391609,7.317792158703651e-4,267.8295114933449
15,0.5,0.4,0,0,0,0.2857142857142857,39.99999554698495,0.999998934572679,2.8773727278608163e-7,258.3363763161097
20,0.5,0.4,0,0,0,0.2857142857142857,39.9999928803193,0.9999981940215266,2.62384986016162e-7,258.3363773108478
25,0.5,0.4,0,0,0,0.2857142857142857,39.999993806860424,0.9999984291222705,2.28237346577842e-7,258.3363770156547
5,0.7,0.4,0,0,0,0.2857142857142857,4.004913039396181,0.5328303401953631,0.6743630908317569,105.87012859323848
10,0.7,0.4,0,0,0,0.2857142857142857,9.123816469389075,0.9999811060148116,1.4372687074937218e-5,267.8295602144973
15,0.7,0.4,0,0,0,0.2857142857142857,39.9999944155107,0.9999985117217651,2.4840099877021515e-7,258.33637645682114
20,0.7,0.4,0,0,0,0.2857142857142857,39.99999182765812,0.999997927095473,3.0118000943213374e-7,258.33637674997647
25,0.7,0.4,0,0,0,0.2857142857142857,39.999991827660295,0.999997927095473,3.0118000943213374e-7,258.33637675013875
5,0.9,0.4,0,0,0,0.2857142857142857,1.7383244058741054,0.9999932111669558,3.267040173116076e-6,48.05116726240595
10,0.9,0.4,0,0,0,0.2857142857142857,9.122931003705812,0.999944907838682,7.926389828310509e-4,267.82973995895696
15,0.9,0.4,0,0,0,0.2857142857142857,39.99999379908531,0.9999983473475662,2.758189901475028e-7,258.336376427037
20,0.9,0.4,0,0,0,0.2857142857142857,39.99999379908657,0.9999983473475662,2.758189901475028e-7,258.33637642797765
25,0.9,0.4,0,0,0,0.2857142857142857,39.99999379908781,0.9999983473475662,2.758189901475028e-7,258.3363764204534
5,0.3,0.6,0,0,0,0.2857142857142857,4.00453193539575,0.5330126741482061,0.7011063697916138,105.86724695419856
10,0.3,0.6,0,0,0,0.2857142857142857,9.123211916705394,0.9999476033012081,4.433736089276552e-5,267.8296868031305
15,0.3,0.6,0,0,0,0.2857142857142857,39.999990456699415,0.9999985263766795,3.4795818837363157e-7,258.33638455666426
20,0.3,0.6,0,0,0,0.2857142857142857,39.99999513909752,0.9999988369294918,3.1409060841092185e-7,258.3363755975132
25,0.3,0.6,0,0,0,0.2857142857142857,39.99999029900492,0.999998775317092,5.349762178807893e-7,258.3363819187215
5,0.5,0.6,0,0,0,0.2857142857142857,4.0052505545288275,0.5328334738283002,0.6789667756954594,105.86927352434732
10,0.5,0.6,0,0,0,0.2857142857142857,9.12332264167704,0.9998939037226566,7.806365067192234e-5,267.8298571591039
15,0.5,0.6,0,0,0,0.2857142857142857,39.999995389847754,0.999998771204665,2.0506167813794107e-7,258.3363748815679
20,0.5,0.6,0,0,0,0.2857142857142857,39.99999488975356,0.999998777254415,3.302079410461012e-7,258.3363725499288
25,0.5,0.6,0,0,0,0.2857142857142857,39.99999554698624,0.999998934572679,2.8773744181753713e-7,258.3363763267063
5,0.7,0.6,0,0,0,0.2857142857142857,4.005795158793317,0.5324052057493432,0.7018084096230206,105.86737540121621
10,0.7,0.6,0,0,0,0.2857142857142857,9.122859956301408,0.9998940604577832,3.806084546370547e-5,267.82984962514735
15,0.7,0.6,0,0,0,0.2857142857142857,39.9999944155107,0.9999985117217651,2.484011247250173e-7,258.33637645682114
20,0.7,0.6,0,0,0,0.2857142857142857,39.99999452577097,0.9999989185671585,2.445909389470202e-7,258.33637782497306
25,0.7,0.6,0,0,0,0.2857142857142857,39.999991827660295,0.999997927095473,3.0118019461733425e-7,258.3363767501388
5,0.9,0.6,0,0,0,0.2857142857142857,1.7384046999569103,0.9999930887546169,1.5844387460939302e-5,48.051169529810345
10,0.9,0.6,0,0,0,0.2857142857142857,9.12272817947027,0.9999434932777431,3.843778561551936e-5,267.82969311258597
15,0.9,0.6,0,0,0,0.2857142857142857,39.99999518899373,0.9999987797698122,1.7729982576542014e-7,258.3363718716621
20,0.9,0.6,0,0,0,0.2857142857142857,39.99999518899448,0.9999987797698122,1.7729982576542014e-7,258.33637158406
25,0.9,0.6,0,0,0,0.2857142857142857,39.99999518899523,0.9999987797698122,1.7729982576542014e-7,258.3363715061249
